,post id,time stamp,author,post,likes,shares,comments,social media,sources
2,2849604131834734,2020-05-18 14:26:21, ,"አሳዛኝ የትራፊክ አደጋ በካዛንቺስ!
=====================
ትላንት ምሽት ትንሿ ልጇቸዉን በትራፊክ አደጋ የተነጠቁ እናትና አባት Seifu On ebs ፕሮግራም ላይ ቀርበዉ ስልክስተቱና ስለ ልጃቸዉ ሲያወሩ በጣም አለቀስኩ።#የማራኪ ቤተሰቦች አይናቸው እያዬ የ7 አመት ልጃቸውን ሲነጠቁ እጅግ ልብ ይሰብራል። ይሄ አይነት ታሪክ የገጠማቸው ብዙዎች አሉ። ኢትዮጵያ ዉስጥ የመኪና አደጋ ከኤች አይቪ ኤድስ በላይ ገዳይ ሆኗል፣ ሁሉም ቤት እየገባ ነው። እዉነት ለመናገር መንግስትም ትራፊክ አደጋ ላይ በትኩረት እየሰራ ነዉ ወይ ብለን ብንጠይቅ መልሱን ሁላችንም እናዉቀዋለን። በቴለቭዥን ጣቢያ ""በዛሬዉ እለት በትራፊክ አደጋ---ሰዉ ሞተ"" ብለዉ ከመዘገብ ዉጭ ምን አይነት ዉሳኔ ተወስኖ ያዉቃል። እዚች ሀገር ላይ የሰዉ ሞት ቀላል ሆኗል። የሚመለከተዉ አካል ምን እየሰራ ነዉ??? አሁንም እንናገራለን በትራፊክ አደጋ ሞት ይብቃ፣ ለአብዛኞቹ ኢትዮጵያ ሹፌሮች ምክር ትርጉም የለዉም፣ ጠበቅ ያለ ህግ ይዉጣ፣ ለምሳሌ በኮሮና ምክንያት ባለታክሲዎች ግማሽ እንዲጭኑ ካልሆነ ግን 5,000 ብር እንሚቀጡ ስለተደነገገ ማነዉ ትርፍ ጭኖ ሲነዳ የምታየዉ ማንም የለም። ኢትዮጵያ ላይ ጠንከር ያለ ህግ ከወጣ የትራፊክ አደጋዉንም ሆነ ሌሎች አደጋዎችን መቀነስ ይቻላል።
የማራኪ ቤተሰቦች ፈጣሪ ፅናቱን ይስጣችሁ!!!
ማራኪ ነፍስ ይማር
😭😭😭😭",42,10,8,facebook,https://m.facebook.com/story.php?story_fbid=2849604131834734&id=915087325286434
6,2825534494241698,2020-05-09 10:19:34, ,"የአብይ መንግስት የናኖ ቺፕሴትን(666) በክትባት መልክ በምአስገዳጅ ሊሰጥ ነው።
የኮረና መከላከያ ነው በሚል ሰበብ
ህብረተሠቡ ላይ ኮረና እንዳይሠራጭ ክትባቱ በአስገዳጅ በኢትዮጵያ ሊሠጥ መሆኑ እየተነገረ ነው።
ከቤተክርስቲያን እንድንውጣ እንዳንፀልይ የራሳችንን መመህሮች ጭምር ተጠቅመው ማስገደድ ከቻሉ ነገደሞ ለመኖር ስንል በራሳችን መምህራን እና አባቶች ወትዋችነት ክትባቱን ማለትም የ666 ክትባት የምንወስድበት ጊዜ ቅርብ ይሆናል ።
ስለዚህ ልክ እንደትላንቱ ነገስታት እሳት ቢያነዱ እንዳ እናንያ አዛርያ እና ሚዝራቅ እንቢ የሚል ትውልድ ሁሉም ሲፈሩ እውነትን ለመመስከር ዲዳ ሲሆኑ በሞታቸው ክርስትናን ኢየሱስን ተዋህዶን የምሰብኩበት ዘመን ድርሷል።
የፍካሬ ኢየሱስ ትንቢት መፈፀሚያው 2012 ዓ.ም
ንቁ የወንጌል ትምህርት በፌስቡክ መልስ በኮሜንት
May 6 at 7:30 AM ·
#ጉድ_______ጉድ________ጉድ❗❗❗
👉 ""የ666 ማይክሮቺፕ በሰውነታችን መቀበር አለበት""👈
ዶ/ር ብርሃኑ ታፈሰ ቡልቻ በEBS ቴክቶክ ፕሮግራም ላይ
〰〰〰
#ሸር አድርጉ ትውልድ የማንቃት ሀላፊነት አለብን❗
ዳውንሎድ አድርጋችሁም አሰራጩ፥ ሳያነሱት በፊት።
የዓውሬውን ምልክት በክትባት መልክ መሰጠት ተጀመረ
ሞደርና የሚባል ምይክሮ ቺፕን (የዓውሬውን ምልክትን) የሚያመርት ካምፓኒ
ለኮረና ቫይረስ ክትባት ነው ያለውን ኳንተም ዶት ታቱ ወይንም ዲጊታል አይዲ 2020
የተባለን የክትባት አይነት በሙከራ ደረጃ ሰዎችን እንዲከትብ በመንግስት ተፈቅዶለት
ይህን የክትባት አይነት ለሰዎች መስጠት ጀመረ።",20,25,5,facebook,https://m.facebook.com/story.php?story_fbid=2825534494241698&id=915087325286434
13,2799505580177923,2020-04-27 22:17:34, ,"የእስራት ሰበር ዜና
*~★★~*
• ወሬ ነጋሪዬ ግን ሲያበሳጭ አትጠይቁኝ። የ20 ሺ ብር ስልክ ይዞ ፎቶ ማንሳት ይንቀጠቀጣል። ቲሽ አለ አጎቴ ሌኒን። ሲያናድድ።
#ETHIOPIA | ~ “ንግሥቲቷ ስትቀር የስምንተኛው ሺ ንጉሥና ደንገጡሮቹ ዛሬ ከቀኑ በ8:00 ሰዓት በቁጥጥር ስር መዋላቸው ተነግሯል። [ በዚህ ዜና መቐለ መሸበሯ ነው ዶሮ መሐሪ ዮሐንስ ሰምተሃል።]
•••
የስምንተኛው ሺ ንጉሥ፣ ጎዣሜው ጋሽ “ንጉሥ” በላቸው አቡዬን ጨምሮ በርካታ የባለዛሯ ስንዱ መንፈስ የሰፈረባቸው ኤርትራውያንና ትውልደ ኢትዮጵያውያን የስንዱ ደንገጡሮችና ካዳሚዎች ከራሷ ከወሮ ስንዱ ቤት ታፍሰው ወደ ፖሊስ ጣቢያ መጋዛቸው እየተነገረ ነው። እስራቱ ከእኔ ትግል ጋር አይያዛም። ምንአልባት የእኔ ውትወታ እንደጦስ ዶሮ ሊያገለግል ይችል ይሆናል። ገዳፋ ሆንኩባቸው። ዐይን አበዛሁባቸው። አስጠቆርኳቸው። ሊባል ይችላል።
•••
ዛሬ ከቀኑ በ8 ሰዓት ጀምሮ በቁጥጥር ሥር የዋሉት የስንዱ አድራሽ ፈረሶች የእስራቸው ዋነኛ ምክንያት እንደሆነ የተነገረው “በዘመነ ኮሮና መንግሥት የወጣውን ከ4 በላይ ሰዎች መሰብሰብን የሚከለክለውን ዐዋጅ ጥሰው ወሮ ስንዲት “መስቀለ ክርስቶስ ቤተ ክርስቲያን” ብላ በሰየመችውና ጫማ አስወልቃ…",95,10,5,facebook,https://m.facebook.com/story.php?story_fbid=2799505580177923&id=915087325286434
20,2788330251295456,2020-04-23 02:02:24, ,ለመጀመሪያ ጊዜ ሁለት ድመቶች በኮሮና ቫይረስ መያዛቸውን አሜሪካ አስታወቀች ::,91,7,7,facebook,https://m.facebook.com/story.php?story_fbid=2788330251295456&id=915087325286434
36,2744392622355886,2020-04-03 11:04:18, ,"share share
የበዓታ ማርያም ፀበል ከኮሮ ነፃ አደረገ!!
የተዋህዶ ልጆች እውነተኛ ተዓምር ነው share share በማድረግ የእግዚአብሔርን ድንቅ ስራ መስክሩ።
ልጅቷ የምትኖረው ዱባይ ነው።ታዳ ይች እህታችን በኮሮና ቫይረስ ተጠቅታ ቀናትን ቆይታለች። ይሁንና ሀኪም ቤት አልሄደችም ። ይልቁንስ አድስ አበባ ለምትኖረው እህቷ የቦሌ አራብሳን በዓታ ማርያምን እምነት እና ፀበል እንድትልክላት ነገረቻት እህቷም የነገረቻትን የበዓታ ማርያምን ፀበል እና እምነት ላከችላት። ዱባይ ያለችው ልጅም የተላከላትን ፀበል እና እምነት ያለ ምንም መጠራጠር በሙሉ እምነት ተጠቅማችው። እውነት ነው የምላችሁ ከታች በምስል የምታዩትን የኮሮና ቫይረስ ምልክት አስታወካት።ወድያውኑ ሄዳ ስትመረምር ከቫይረሱ ሙሉ በሙሉ ነፃ ሆናለች።
የእግዚአብሔር ስራው ድንቅ ነው። በበዕታለ ማርያም ፀበልና እምነት የዘመኑ አስከፊ ወረርሽኝ ድል ተነሳ። እንኳን ደስ አላችሁ ። የተዋህዶ ልጆች ይሄንን ብስራት ከእህቷ አንደበት ሰማን።
ይህንን ስናገር ተረት የሚመስለው ይኖራል ግን እውነት ነው የምላችሁ ።
እንኳን ደስ አለን ደስ አላችሁ ።
እግዚአብሔር ከእኛ ጋር ከሆነ ሁሉም ነገር ተረት ሆኖ ይቀራል ።
በሙሉ እምነት ፀበሉን እምነቱን ተጠቀሙ ትድናላችሁ ። አትፍሩ አትጠራጠሩ ።
share share share share አድርጉ ሁሉም ይስማ።
ሰናይ ምሽት።
ከታች ያለውን ምስል ተመልከቱት እራሱን የኮሮናል ምልክት ነው የሚመስለው !!!!
ለፔጀ አድስ የሆናችሁ ፔጀን like share በማድረግ ቤተሰቤ ይሁኑ ያተርፋሉ ።
ጋዜጠኛ ሙሉጌታ አወቀ/ዘ ዋድላው/
ሸገር አዱ ገነት አድስ አበባ",736,387,168,facebook,https://m.facebook.com/story.php?story_fbid=2744392622355886&id=915087325286434
52,4092720240768186,2020-05-26 20:46:38, ,"እንዲህ ሆነላችሁ!
በድንኳን የተሰበሰቡት ሀዘንተኞች
ኢትዮጵያ ፡ ኮሮናቫይረስ በምርመራ የተገኘባቸው ሰዎች ቁጥር 701 ደርሷል
አዲስ አበባ - ልደታ ክፍለ ከተማ፣ ወረዳ 3፣ ቀጠና 5፣ መንደር 3 (አብነት ሠፈር) አንድ ሰው በኮሮናቫይረስ ተይዞ ይሞታል። ሀዘንተኞችን ለማስተዘዘን ሰዎች በድንኳን ተሰባሰቡ።
በኮቪድ -19 የሞቱት የአራተኛው ሰው ቤተሰብን ለማስተዛዘን፡ ለቅሶ ተቀምጠው የነበሩ ከ30 በላይ የመንደሩ ነዋሪዎች በኮሮናቫይረስ ይያዛሉ።
የአካባቢዉ ነዋሪዎች በሙሉ (በነዋሪዎቹ ፈቃድና ይሁንታ) ከሌሎች አካባቢዎች ነዋሪዎች ጋር እንዳይገናኙ ራሳቸውን አግደዋል።
የነዋሪዎቹ ፈቃድና ይሁንታ - ለአገር እና ለሕዝብ የሰጡት (ሕዝባዊ ታላቅ ከበሬታ) እንደሆነ የበጎ ፈቃደኛ ወጣቶች ተናግረዋል።
በአብነት ሠፈር - የበጎ ፈቃደኛ ወጣቶች (ያገሬ ልጆች - የኢትዮጵያ ልጆች) ይህንን ታላቅ የጀግንነት ሥራ እያስተባበሩ ይገኛሉ።
በነገራችን ላይ
እናንተዬ - በ 24 ሰዓታት ውስጥ …
በ 24 ሰዓታት ውስጥ የተደረጉ የላቦራቶሪ ምርመራ ናሙናዎቹ በእነዚህ መንገዶች የሚወሰዱ ናቸው። ከተለያዩ ቦታዎች ይበልጥ ተጋላጭ ከሆኑ የማህበረሰብ ክፍሎች፣ ከጤና ተቋማት፣ በቫይረሱ ከተያዘ ሰው ጋር የቅርብ ንክኪ ካላቸው…",4695,590,166,facebook,https://m.facebook.com/story.php?story_fbid=4092720240768186&id=277650185608563
54,4089088694464674,2020-05-25 22:06:49, ,"ቅድስት ዘመነ - እጅ ነስተናል! … አመስግነናል!
ከደጋግ ልቦች አንዿ (ዝምተኛ ጀግና) የሆነችው ቅድስት ዘመነ ተወልዳ ያደገችው ኢትዮጵያ - ጎንደር ከተማ አዘዞ ውስጥ ነው:: በአሁኑ ሰአት የምትኖረው በአሜሪካ ግዛት በሆነችው ደኔንቨር ኮሎራዶ (Denver, Colorado) ነው:: የ Aveda institute ምሩቅ ስትሆን የ makeup artist እና የ hairstylist ባለሙያ ናት።
ተጨማሪም beautybykidist https://www.youtube.com/channel/UC_vUFjbWnAYP2ZpBB_p1lqA የሚባል የዩቲዩብ ቻናል አላት። 140ሺህ subscriber አላት::
ባለትዳር እና የአንድ ልጅ እናት ናት::
ኮቪድ- 19 ሀገራችን ላይ በደረሰው ጉዳት እገዛ ላይ እንዲውል በማሰብ ከሰብስክራይበሮቿ ጋር በመሆን የ 100,000.00 (የአንድ መቶ ሺህ ብር) እርዳታ ለ ሙዳይ በጎ አድራጎት ማኅበር አበርክተዋል::
ቅድስት ዘመነ -ሰብስክራይበሮቿን በማስተባበር - (ሀገሬ ማን አላት? … ኢትዮጵያ ማን አላት? …) በማለት የክፉ ቀን ወዳጆች፡ የኢትዮጵያ ልጆች ተረባርበዋል። ዛሬ - አኩሪ ተግባር ፈጽመዋል።
የሙዳይ በጎ አድራጎት ማኅበር መሥራችና ማኔጂንግ ዳይሬክተር ወ/ሮ ሙዳይ ምትኩ ""ቅድስት ዘመነ እና የዩቲዩብ ቻናል ሰብስክራይበሮቿን አገር እና ሕዝብ አመስግኑልኝ "" ብለዋል።
እናንት ያገሬ ልጅ! …
መልካም ሥራ ስራና ሰይጣን ይፈር!
መልካም ሥራ ስራና ሸይጣን ይፈር!",5566,186,190,facebook,https://m.facebook.com/story.php?story_fbid=4089088694464674&id=277650185608563
57,4077351888971688,2020-05-22 23:00:01, ,"እሁድ፡1 ሺ 441ኛው ኢድ አል ፈጥር ይከበራል
የኢድ ሰላት በየቤታችን እንስገድ! - ፕሬዚዳንት ተቀዳሚ ሙፍቲ ሃጂ ኡመር እንድሪስ
አርብ ምሽት ጨረቃ ባለመታየቷ 1 ሺህ 441ኛው ኢድ አል ፈጥር በዓል እሁድ እንደሚከበር የኢትዮጵያ እስልምና ጉዳዮች ጠቅላይ ምክር ቤት አስታውቋል።
‹‹በዓሉ ከነገ በስቲያ ማለትም እሁድ ተከብሮ ይውላል!›› ብለዋል የጠቅላይ ምክር ቤቱ የህዝብ ግንኙነት ኃላፊ አቶ ኡስማን አደም፡፡
‹‹የኢድ በዓል ስናከብር የኮሮና ቫይረስ የተከሰተበት ወቅት በመሆኑ ቫይረሱ እንዳይሰራጭ ጥንቃቄ እናድርግ!›› ሲሉ የጠቅላይ ምክር ቤቱ ፕሬዚዳንት ተቀዳሚ ሙፍቲ ሃጂ ኡመር እንድሪስ አሳስበዋል፡፡
አያይዘውም የኢድ ሰላትን በየቤታቸው ሆነው እንዲሰግዱም መልዕክት አስተላልፈዋል።",4711,189,249,facebook,https://m.facebook.com/story.php?story_fbid=4077351888971688&id=277650185608563
58,4077334205640123,2020-05-22 22:12:38, ,"🌍እንኳን ወደ አዲሲቷ አለም በደህና መጡ! Welcome to the new era of Enlightenment
ይህ ለ500 አመታት ሲብላላና ሲንተከተክ የቆው የአብርሆት ፍንዳታ ዘመን ነው ይላል ስቴቨን ፒነከር፡፡ እንደኮሮና ወረርሽኝ ያሉ ከባባድ አደጋዎች ደግሞ ብልሁን ሰው(Homo sapiens) ለደረጀ (Sophisticated) እና ለተሻለ(resilient) ስልጣኔ በርን ይከፍትለታል እንጂ የሰው ልጆች ብዙ ዋጋ የከፈሉበትን ስልጣኔ ለስብራት(fracture of civilization) አይዳርገውም ባይ ነው፡፡ ምክነያቱም ይህ የአብርሆት(የሳንስና አመክንዮ) ዘመን ነዋ! ነገር ግን ወደፊቱ(post corona world) የጤና፣ የንግድ፣ የባህልና የፖለቲካ እርምጃችን ምን ይመስል ይሆን የሚለው ከባድ ጥያቄ ነው፡፡ የሰው ልጆች እንዲህ አይነት ከባድ መቅሰፍቶች ሲያጋጥማቸው እንደምን አለፉት? ከመቅሰፍቱ በኋላ መንገዳቸውን እንደምን ቀየሩ? ምን ተሳካላቸው? ምንስ ከሰሩ?
የሰው ልጆች በጠቅላላው የአብርሆት ችቦ ከተለኮሰበት ከዛሬ 500 አመት(pre enlightenment world) ይኖሩ ከነበረው ህይወት የተሻለ እየኖሩ ነው? የዛሬ መቶ አመት ያጋጠማቸው መቅሰፍት የጎዳቸውን ያህል ዛሬ የሚያጋጥማቸው…",1125,82,48,facebook,https://m.facebook.com/story.php?story_fbid=4077334205640123&id=277650185608563
59,4075888789117998,2020-05-22 14:01:40, ,"429 ደርሷል!
• ዛሬ ተጨማሪ 30 ሰዎች ኮሮናቫይረስ ተገኝቶባቸዋል
• አራቱ የውጭ ሀገር የጉዞ ታሪክም ሆነ ንክኪ የሌላቸው ናቸው
በኢትዮጵያ ባለፉት 24 ሰዓት 3645 የላቦራቶሪ ምርመራ ተድርጓል፡፡ ዛሬ - 30 ሰዎች የኮሮናቫይረስ እንደተገኘባቸው ጤና ሚኒስትር ዶክተር ሊያ ታደሰ ተናግረዋል።
ቫይረሱ ከተገኘባቸው መካከል
18 አዲስ አበባ፣
3 አፋር ክልል፣
4 ኦሮሚያ ክልል፣
3 ትግራይ ክልል እንዲሁም
2 የድንበር ተሻጋሪ አሽከርካሪዎች ናቸው።
በኢትዮጵያ ቫይረሱ የተገኘባቸው ሰዎች ቁጥር 429 ደርሷል።
(Photo by Jane Barlow - WPA Pool/Getty Images)",3277,124,143,facebook,https://m.facebook.com/story.php?story_fbid=4075888789117998&id=277650185608563
