,Tweet/fb id,time,author,tweet/fb text,favorite/like,retweet/share,social media,source,location
0,1266167357644386305,2020-05-29 00:39:56,Alula Solomon,"የአማራ ፖለቲከኞች (አሀዳዊያን ብልጥግና) በተሸናፊነት ስነ ልቦና ተገፋፍተው ግንቦት 20 ን የሽንፈታቸው ቀን አድርገው በመቆጠር የሚስኪኑ የአማራ ህዝብ ስነ ልቦና ባይጎዱ ጥሩ ነው:: ደርግን ""አማራ"" ብሎ መጥራት የኤርትራ ፖለቲካ መገለጫ ብቻ ይሁን::",33,3,twitter,[],"New York, USA"
1,1266154730893475851,2020-05-28 23:49:46,Alula Solomon,"Breaking!

According to sources from Khartoum, there is ongoing heavy fight in Ethiopia's Amhara region &amp; Sudan border. The Sudanese army has issued televised warning. The sources have also disclosed this might affect the lives of over 1 million Ethiopians in Sudan.",49,13,twitter,[],"New York, USA"
2,1266140892932571136,2020-05-28 22:54:47,Alula Solomon,@KiyaChala They don’t want to upset anything Derg (Amhara in their own word) now in their political discourse. They think it may harm their temporary romance with Abiy.,3,0,twitter,[],"New York, USA"
3,1266131924025782272,2020-05-28 22:19:08,Alula Solomon,"RT @TsedaleLemma: ግንቦት 19... ግንቦት 20... ግንቦት 21... ግንቦት 22...ግንቦ...እ! 🥴🥴😂

እኔና ቤቴ ግን ግንቦት ሃያን እናከብራለን። ለቀኑ የሚሆን መልእክትም በግንቦት 20 ይዘን እንመለሳለን…",0,27,twitter,[],"New York, USA"
4,1266110519515254791,2020-05-28 20:54:05,Alula Solomon,"ትልቁ ስሕተት በገዛ ፈቃዳቸው ""ሽንፈቱ የኛ ነው"" ብለው ያመኑ ተሸናፊዎች የአሸናፊዎችን የድል ቀን እንዲያከብሩ መጠበቅ ነው:: 

Clash of narratives. Disintegration is inevitable!",51,3,twitter,[],"New York, USA"
5,1266038678599741440,2020-05-28 16:08:37,Alula Solomon,RT @TsedaleLemma: #Ginbot20 marks the beginning of a transformative state structure &amp; a new state building project in Ethiopia. It did so t…,0,53,twitter,[],"New York, USA"
6,1265693735360364551,2020-05-27 17:17:56,Alula Solomon,RT @ProfKindeya: Greetings from Beautiful &amp; peaceful #Mekelle #Tigrai #Ethiopia - እንኳን ለግንቦት 20 የድል በዓል አደረሰን:: https://t.co/i1EC1BRAER,0,23,twitter,[],"New York, USA"
7,1265651259153014788,2020-05-27 14:29:09,Alula Solomon,"Rashid Abdi on Tigreans tradition ""ባህልና"" 😁 https://t.co/ez1178kdnW",30,8,twitter,[],"New York, USA"
8,1265329585748684801,2020-05-26 17:10:56,Alula Solomon,Sorry for being cruel in setting the agenda ☕️,23,0,twitter,[],"New York, USA"
9,1265053546086633472,2020-05-25 22:54:03,Alula Solomon,"RT @EthioTube: የትግራይ ሚዲያ ሀውስ ዋና ስራ አስፈፃሚ @Alula_Solomon በኢትዮትዩብ የሀሳብ ማዕድ ውይይት ላይ፣ ""ከብልጽግና ይልቅ procedure ተከትሎ እየሄደ ያለው TPLF ነው"" በማለት ተናግሯል።…",0,3,twitter,[],"New York, USA"
10,1264941260172918786,2020-05-25 15:27:52,Alula Solomon,"RT @TsedaleLemma: PP cadres have dragged the dignity of politicking into the gutter that even to report on something, one needs to peel off…",0,83,twitter,[],"New York, USA"
11,1264464403371614209,2020-05-24 07:53:01,Alula Solomon,"RT @AlemayehuGK: In case you missed my conversation with @Alula_Solomon and @lijtekle 

https://t.co/fYu5KzZeIJ",0,1,twitter,['https://youtu.be/vpF7KLkdbfo'],"New York, USA"
12,1264272885671235584,2020-05-23 19:11:59,Alula Solomon,@WediTig Postponed to 2021 (Denver) due to COVID19 pandemic.,1,0,twitter,[],"New York, USA"
13,1263859807523569664,2020-05-22 15:50:34,Alula Solomon,@AbiyAhmedAli While depriving Eritrean refugees right in collaboration with dictator Isaias. The hypocrisy 🙊,36,3,twitter,[],"New York, USA"
14,1263740969226244100,2020-05-22 07:58:20,Alula Solomon,"RT @Jawar_Mohammed: So the Election Board says, to prepare to the election, it needs 10-15 months after Covid-19 pandemic is over. Accordin…",0,99,twitter,[],"New York, USA"
15,1263499734767017984,2020-05-21 15:59:46,Alula Solomon,RT @Jawar_Mohammed: Members of the CCI have been speaking to state media since yesterday explaining how constitutional interpretation is th…,0,52,twitter,[],"New York, USA"
16,1263207884051144714,2020-05-20 20:40:03,Alula Solomon,RT @ProfKindeya: We have signed an agreement with the #Tigrai Bureau of #Education for launching TV educational program for grades 9-12 in…,0,16,twitter,[],"New York, USA"
17,1262921381790048258,2020-05-20 01:41:36,Alula Solomon,By cartoonist Habtom G. https://t.co/ZeUNTPV7mN,44,6,twitter,[],"New York, USA"
18,1262633057233899523,2020-05-19 06:35:54,Alula Solomon,9 months ago (September 2019) from my interview with OMN in Addis Ababa https://t.co/nOwzrkWHVP,27,5,twitter,[],"New York, USA"
19,1262585894118346768,2020-05-19 03:28:29,Alula Solomon,"Property of big corps in a land of no policy &amp; strategy

Source: unknown https://t.co/tCwECJEJo9",18,0,twitter,[],"New York, USA"
20,1262565780253822978,2020-05-19 02:08:34,Alula Solomon,Summary of Col. Abiy's Council of Constitutional Inquiry (CCI) hearing https://t.co/BydDp4Wbqc,21,3,twitter,[],"New York, USA"
21,1262063580880478208,2020-05-17 16:53:00,Alula Solomon,ትግራይ ዓዲ ሰላም ፣ ልምዓት ፣ ዲሞክራሲ ፣ ፍትሒን ርትዒን ክትከውን ግድን 'ምበር ናይ ሕርያ (optional) ጉዳይ ኣይኮነን!,59,4,twitter,[],"New York, USA"
22,1261874945950441472,2020-05-17 04:23:26,Alula Solomon,@ProudEritrean91 @CeaseTyranny Ermias Legesse used to be Sophia Tesfamariam’s lapdog in DC.,2,0,twitter,[],"New York, USA"
23,1261873998071201792,2020-05-17 04:19:40,Alula Solomon,"RT @CeaseTyranny: Erimias Legesse: Short message for #PFDJ members. 
He said #Eritrea for the past 29 years is under:

Slavery
One party
On…",0,20,twitter,[],"New York, USA"
24,1261832715432873985,2020-05-17 01:35:37,Alula Solomon,"Script: Abiy Ahmed
Acting: Meaza Achenafi 😂 https://t.co/vHt7ALd19z",30,5,twitter,[],"New York, USA"
25,1261493465776640001,2020-05-16 03:07:34,Alula Solomon,Recently some of the Eritrean spies provided to Abiy by Isaias were found dead in their hotel rooms in Addis Ababa. 2/2,9,1,twitter,[],"New York, USA"
26,1261493411233890309,2020-05-16 03:07:21,Alula Solomon,"Isaias told Abiy to forget the idea of conducting elections, focus instead on ways of removing nationalist movements and oppositions in Oromiya and SNNR. The expiring Eritrean dictator has also provided spies and army to the aspiring Ethiopian dictator. 1/2",26,4,twitter,[],"New York, USA"
27,1261168302803628033,2020-05-15 05:35:29,Alula Solomon,"A consequence of failed diplomacy!

Sudan and other riparian countries used to have hope on the dam. Who killed that hope now? 
https://t.co/V5y6gzYMut via @ahramonline",14,1,twitter,['http://english.ahram.org.eg/News/369350.aspx'],"New York, USA"
28,1260980187291934722,2020-05-14 17:07:59,Alula Solomon,Postponed elections may leave it without a legal government https://t.co/37ZMk3hmdO,15,4,twitter,['https://www.economist.com/middle-east-and-africa/2020/05/16/ethiopia-is-entering-constitutional-limbo'],"New York, USA"
29,1260610449747427332,2020-05-13 16:38:46,Alula Solomon,አቶ ኢሳያስን ወጥ ስንቀዳለት ነበር ለማለት ነው:: 🌶 https://t.co/byYbyTbTR3,32,2,twitter,[],"New York, USA"
