,post id,time stamp,author,post,likes,shares,comments,social media,source,location
0,1267463434972651521,2020-06-01 14:30:05,Alula Solomon,"RT @RAbdiCG: PM Abiy has become a normal African Big Man. 

I was getting worried.

His Horn economic integration, alliance is dead. His st…",0,122, ,twitter,[],"New York, USA"
1,1267164872640475136,2020-05-31 18:43:43,Alula Solomon,"I was one of the presenters in this online conference organized by OLLA 
My topic was ""One man government (rule) and restoration of unitary system in Ethiopia"" 
Former United States Assistant Secretary of State for… https://t.co/p6IciJCDdz",15,3, ,twitter,['https://www.instagram.com/p/CA3Nbkpnf3q/?igshid=xqgr73zkiejh'],"New York, USA"
2,1266167357644386305,2020-05-29 00:39:56,Alula Solomon,"የአማራ ፖለቲከኞች (አሀዳዊያን ብልጥግና) በተሸናፊነት ስነ ልቦና ተገፋፍተው ግንቦት 20 ን የሽንፈታቸው ቀን አድርገው በመቆጠር የሚስኪኑ የአማራ ህዝብ ስነ ልቦና ባይጎዱ ጥሩ ነው:: ደርግን ""አማራ"" ብሎ መጥራት የኤርትራ ፖለቲካ መገለጫ ብቻ ይሁን::",33,3, ,twitter,[],"New York, USA"
3,1266154730893475851,2020-05-28 23:49:46,Alula Solomon,"Breaking!

According to sources from Khartoum, there is ongoing heavy fight in Ethiopia's Amhara region &amp; Sudan border. The Sudanese army has issued televised warning. The sources have also disclosed this might affect the lives of over 1 million Ethiopians in Sudan.",59,21, ,twitter,[],"New York, USA"
4,1266140892932571136,2020-05-28 22:54:47,Alula Solomon,@KiyaChala They don’t want to upset anything Derg (Amhara in their own word) now in their political discourse. They think it may harm their temporary romance with Abiy.,3,0, ,twitter,[],"New York, USA"
5,1266131924025782272,2020-05-28 22:19:08,Alula Solomon,"RT @TsedaleLemma: ግንቦት 19... ግንቦት 20... ግንቦት 21... ግንቦት 22...ግንቦ...እ! 🥴🥴😂

እኔና ቤቴ ግን ግንቦት ሃያን እናከብራለን። ለቀኑ የሚሆን መልእክትም በግንቦት 20 ይዘን እንመለሳለን…",0,27, ,twitter,[],"New York, USA"
6,1266110519515254791,2020-05-28 20:54:05,Alula Solomon,"ትልቁ ስሕተት በገዛ ፈቃዳቸው ""ሽንፈቱ የኛ ነው"" ብለው ያመኑ ተሸናፊዎች የአሸናፊዎችን የድል ቀን እንዲያከብሩ መጠበቅ ነው:: 

Clash of narratives. Disintegration is inevitable!",51,3, ,twitter,[],"New York, USA"
7,1266038678599741440,2020-05-28 16:08:37,Alula Solomon,RT @TsedaleLemma: #Ginbot20 marks the beginning of a transformative state structure &amp; a new state building project in Ethiopia. It did so t…,0,53, ,twitter,[],"New York, USA"
8,1265693735360364551,2020-05-27 17:17:56,Alula Solomon,RT @ProfKindeya: Greetings from Beautiful &amp; peaceful #Mekelle #Tigrai #Ethiopia - እንኳን ለግንቦት 20 የድል በዓል አደረሰን:: https://t.co/i1EC1BRAER,0,23, ,twitter,[],"New York, USA"
9,1265651259153014788,2020-05-27 14:29:09,Alula Solomon,"Rashid Abdi on Tigreans tradition ""ባህልና"" 😁 https://t.co/ez1178kdnW",30,8, ,twitter,[],"New York, USA"
